挨着	挨著	āi zhe	near;  	[sound:cmn-挨着.mp3]
当天	當天	dāng tiān, dàng tiān	on that day;  the same day;  	[sound:cmn-当天.mp3]
当作	當作	dàng zuò	to treat as; to regard as;  	[sound:cmn-当作.mp3]
档	檔	dǎng, dàng	(Tw) variant of 擋|挡[dang3], gear;  official records; grade (of goods); file; records; shelves; slot; gap; crosspiece; classifier for crosspieces; classifier for events, affairs etc; Taiwan pr. [dang3];  	[sound:cmn-档.mp3]
档案	檔案	dàng àn	file; record; archive;  	[sound:cmn-档案.mp3]
岛	島	dǎo, dǎo	island; CL:個|个[ge4],座[zuo4];  	[sound:cmn-岛.mp3]
到期	到期	dào qī	to fall due (loan etc); to expire (visa etc); to mature (investment bond etc);  	[sound:cmn-到期.mp3]
盗版	盜版	dào bǎn	pirated; illegal; see also 正版[zheng4 ban3];  	[sound:cmn-盗版.mp3]
道教	道教	Dào jiào	Taoism; Daoism (Chinese system of beliefs);  	[sound:cmn-道教.mp3]
道歉	道歉	dào qiàn	to apologize;  	[sound:cmn-道歉.mp3]
低头	低頭	dī toú	to bow the head; to yield; to give in;  	[sound:cmn-低头.mp3]
低温	低溫	dī wēn	low temperature;  	[sound:cmn-低温.mp3]
滴	滴	dī	a drop; to drip;  	[sound:cmn-滴.mp3]
抵达	抵達	dǐ dá	to arrive; to reach (a destination);  	[sound:cmn-抵达.mp3]
抵抗	抵抗	dǐ kàng	to resist; resistance;  	[sound:cmn-抵抗.mp3]
地板	地闆	dì bǎn	floor;  	[sound:cmn-地板.mp3]
地名	地名	dì míng	place name; toponym;  	[sound:cmn-地名.mp3]
地下室	地下室	dì xià shì	basement; cellar;  	[sound:cmn-地下室.mp3]
电车	電車	diàn chē	trolleybus; CL:輛|辆[liang4];  	[sound:cmn-电车.mp3]
电动	電動	diàn dòng	electric-powered; (Tw) video game;  	[sound:cmn-电动.mp3]
电力	電力	diàn lì	electrical power; electricity;  	[sound:cmn-电力.mp3]
电器	電器	diàn qì	(electrical) appliance; device;  	[sound:cmn-电器.mp3]
吊	吊	diào, diào	a string of 100 cash (arch.); to lament; to condole with; variant of 吊[diao4];  	[sound:cmn-吊.mp3]
调研	調研	diào yán	to investigate and research; research; investigation;  	[sound:cmn-调研.mp3]
跌	跌	diē	to drop; to fall; to tumble; Taiwan pr. [die2];  	[sound:cmn-跌.mp3]
定价	定價	dìng jià	to set a price; to fix a price;  	[sound:cmn-定价.mp3]
定时	定時	dìng shí	to fix a time; fixed time; timed (of explosive etc);  	[sound:cmn-定时.mp3]
