挨着	挨著	āi zhe	near;  	[sound:cmn-挨着.mp3]
主流	主流	zhǔ liú	main stream (of a river); fig. the essential point; main viewpoint of a matter; mainstream (culture etc);  	[sound:cmn-主流.mp3]
煮	煮	zhǔ, zhǔ	to cook; to boil;  	[sound:cmn-煮.mp3]
住宅	住宅	zhù zhái	residence; tenement;  	[sound:cmn-住宅.mp3]
驻	駐	zhù	to halt; to stay; to be stationed (of troops, diplomats etc);  	[sound:cmn-驻.mp3]
柱子	柱子	zhù zi	pillar; CL:根[gen1];  	[sound:cmn-柱子.mp3]
祝愿	祝願	zhù yuàn	to wish;  	[sound:cmn-祝愿.mp3]
专用	專用	zhuān yòng	special; dedicated;  	[sound:cmn-专用.mp3]
转	轉	zhuǎi, zhuǎn, zhuàn	see 轉文|转文[zhuai3 wen2];  to turn; to change direction; to transfer; to forward (mail);  to revolve; to turn; to circle about; to walk about; classifier for revolutions (per minute etc): revs, rpm; classifier for repeated actions;  	[sound:cmn-转.mp3]
转动	轉動	zhuǎn dòng, zhuàn dòng	to turn sth around; to swivel;  to rotate (about an axis); to revolve; to turn; to move in a circle; to gyrate;  	[sound:cmn-转动.mp3]
赚	賺	zhuàn, zuàn	to earn; to make a profit;  to cheat; to swindle;  	[sound:cmn-赚.mp3]
赚钱	賺錢	zhuàn qián	to earn money; moneymaking;  	[sound:cmn-赚钱.mp3]
装备	裝備	zhuāng bèi	equipment; to equip; to outfit;  	[sound:cmn-装备.mp3]
壮观	壯觀	zhuàng guān	spectacular; magnificent sight;  	[sound:cmn-壮观.mp3]
追究	追究	zhuī jiū	to investigate; to look into;  	[sound:cmn-追究.mp3]
捉	捉	zhuō	to clutch; to grab; to capture;  	[sound:cmn-捉.mp3]
咨询	谘詢	zī xún	to consult; to seek advice; consultation; (sales) inquiry (formal);  	[sound:cmn-咨询.mp3]
自来水	自來水	zì lái shuǐ	running water; tap water;  	[sound:cmn-自来水.mp3]
自我	自我	zì wǒ	self-; ego (psychology);  	[sound:cmn-自我.mp3]
自学	自學	zì xué	self-study; to study on one's own;  	[sound:cmn-自学.mp3]
自言自语	自言自語	zì yán zì yǔ	to talk to oneself; to think aloud; to soliloquize;  	[sound:cmn-自言自语.mp3]
自在	自在	zì zai	free; unrestrained; comfortable; at ease;  	[sound:cmn-自在.mp3]
宗教	宗教	zōng jiào	religion;  	[sound:cmn-宗教.mp3]
总部	總部	zǒng bù	general headquarters;  	[sound:cmn-总部.mp3]
总监	總監	zǒng jiān	head; director (of an organizational unit); (police) commissioner; inspector-general; rank of local governor in Tang dynasty administration;  	[sound:cmn-总监.mp3]
总经理	總經理	zǒng jīng lǐ	general manager; CEO;  	[sound:cmn-总经理.mp3]
总量	總量	zǒng liàng	total; overall amount;  	[sound:cmn-总量.mp3]
走私	走私	zoǔ sī	to smuggle; to have an illicit affair;  	[sound:cmn-走私.mp3]
奏	奏	zoù	to play music; to achieve; to present a memorial to the emperor (old);  	[sound:cmn-奏.mp3]
租金	租金	zū jīn	rent;  	[sound:cmn-租金.mp3]
足	足	jù, zú	excessive;  foot; to be sufficient; ample;  	[sound:cmn-足.mp3]
足以	足以	zú yǐ	sufficient to...; so much so that; so that;  	[sound:cmn-足以.mp3]
族	族	zú	race; nationality; ethnicity; clan; by extension, social group (e.g. office workers 上班族);  	[sound:cmn-族.mp3]
族	族	zú	race; nationality; ethnicity; clan; by extension, social group (e.g. office workers 上班族);  	[sound:cmn-族.mp3]
祖父	祖父	zǔ fù	father's father; paternal grandfather;  	[sound:cmn-祖父.mp3]
祖国	祖國	zǔ guó	motherland;  	[sound:cmn-祖国.mp3]
祖母	祖母	zǔ mǔ	father's mother; paternal grandmother;  	[sound:cmn-祖母.mp3]
钻	鑽	zuàn, zuān, zuàn	an auger; diamond;  to drill; to bore; to get into; to make one's way into; to enter (a hole); to thread one's way through; to study intensively; to dig into; to curry favor for personal gain;  	[sound:cmn-钻.mp3]
最佳	最佳	zuì jiā	optimum; optimal; peak; best (athlete, movie etc);  	[sound:cmn-最佳.mp3]
最终	最終	zuì zhōng	final; ultimate;  	[sound:cmn-最终.mp3]
罪	罪	zuì, zuì	variant of 罪[zui4], crime;  	[sound:cmn-罪.mp3]
罪恶	罪惡	zuì è	crime; evil; sin;  	[sound:cmn-罪恶.mp3]
作	作	zuō, zuò	worker; workshop; (slang) troublesome; high-maintenance (person);  to do; to grow; to write or compose; to pretend; to regard as; to feel; writings or works;  	[sound:cmn-作.mp3]
作废	作廢	zuò fèi	to become invalid; to cancel; to delete; to nullify;  	[sound:cmn-作废.mp3]
作战	作戰	zuò zhàn	combat; to fight;  	[sound:cmn-作战.mp3]
座谈会	座談會	zuò tán huì	conference; symposium; rap session;  	[sound:cmn-座谈会.mp3]
