挨著	挨着	āizhe	near	[sound:cmn-挨着.mp3]
次數	次数	cìshù	number of times, frequancy, frequency, absolute frequency, legal case, oftenness, lawsuit, time, frequence	[sound:cmn-次数.mp3]
此致	此致	cǐzhì	(used at the end of a letter to introduce a polite salutation)	[sound:cmn-此致.mp3]
從不	从不	cóngbù	ne'er, never	[sound:cmn-从不.mp3]
從沒	从没	cóngméi	never (in the past), never did	[sound:cmn-从没.mp3]
醋	醋	cù	vinegar, jealousy (in love rivalry)	[sound:cmn-醋.mp3]
村莊	村庄	cūnzhuāng	village, hamlet, CL:座[zuo4]	[sound:cmn-村庄.mp3]
搭	搭	dā	put up, construct, join together, add (money/etc.)	[sound:cmn-搭.mp3]
錯過	错过	cuòguò	pass up, muff, throw_away, lose, let slip, miss, overslip, balk, overlook, cross, pass_up, slip	[sound:cmn-错过.mp3]
搭配	搭配	dāpèi	group, pair	[sound:cmn-搭配.mp3]
搭檔	搭档	dādàng	to cooperate, partner	[sound:cmn-搭档.mp3]
打動	打动	dǎdòng	to move (to pity), arousing (sympathy), touching	[sound:cmn-打动.mp3]
打斷	打断	dǎ duàn	to interrupt, to break off, to break (a bone)	[sound:cmn-打断.mp3]
打牌	打牌	dǎ pái	to play mahjong or cards	[sound:cmn-打牌.mp3]
打發	打发	dǎfa	to dispatch sb to do sth, to make sb leave, to pass (the time), (old) to make arrangements, (old) to bestow (alms etc)	[sound:cmn-打发.mp3]
打官司	打官司	dǎ guānsi	to file a lawsuit, to sue, to dispute	[sound:cmn-打官司.mp3]
打印機	打印机	dǎyìnjī	printer	[sound:cmn-打印机.mp3]
大道	大道	dàdào	wide road, the way of virtue and justice	[sound:cmn-大道.mp3]
打造	打造	dǎzào	to create, to build, to develop, to forge (of metal)	[sound:cmn-打造.mp3]
大街	大街	dàjiē	street, main street, CL:條|条[tiao2]	[sound:cmn-大街.mp3]
大米	大米	dàmǐ	(husked) rice	[sound:cmn-大米.mp3]
大批	大批	dàpī	large quantities of	[sound:cmn-大批.mp3]
大賽	大赛	dàsài	race, game, tournament, contest	[sound:cmn-大赛.mp3]
大師	大师	dàshī	great master, lord, workmaster, artiste, Very Reverend, overlord, master, priest, maestro, non-Christian priest, Great Master	[sound:cmn-大师.mp3]
大力	大力	dàlì	vigorously, energetically	[sound:cmn-大力.mp3]
大使	大使	dàshǐ	elchee, embassador, ambassadorial, nuncio, ambassadorship, ambassador	[sound:cmn-大使.mp3]
待會兒	待会儿	dāihuir5	in a moment, later, Taiwan pr. [dai1 hui3 r5]	[sound:cmn-待会儿.mp3]
擔憂	担忧	dānyōu	be apprehensive	[sound:cmn-担忧.mp3]
誕生	诞生	dànshēng	be born, come into being, emerge	[sound:cmn-诞生.mp3]
單打	单打	dāndǎ	play by oneself	[sound:cmn-单打.mp3]
黨	党	dǎng	section, Dang, political party, CCP, KMT, Ku_Klux_Klan, clique, The Party, party, tong, kinsfolk, the Party, faction, gang	[sound:cmn-党.mp3]
當	当	dāng	when, while	[sound:cmn-当.mp3]
當天	当天	dāngtiān	on that day, the same day	[sound:cmn-当天.mp3]
當成	当成	dàngchéng	regard as, take for, consider as, regard/consider as, treat as, regard	[sound:cmn-当成.mp3]
檔	档	dàng	(Tw) variant of 擋|挡[dang3], gear, official records, grade (of goods), file, records, shelves, slot, gap, crosspiece, classifier for crosspieces, classifier for events, affairs etc, Taiwan pr. [dang3]	[sound:cmn-档.mp3]
當作	当作	dàngzuò	regard_as, regard as, look upon as, treat as, presume	[sound:cmn-当作.mp3]
檔案	档案	dàngàn	data file, documentation, record, archive, archives, file, dossier	[sound:cmn-档案.mp3]
到期	到期	dào qī	to fall due (loan etc), to expire (visa etc), to mature (investment bond etc)	[sound:cmn-到期.mp3]
盜版	盗版	dào bǎn	pirated, illegal, see also 正版[zheng4 ban3]	[sound:cmn-盗版.mp3]
島	岛	dǎo	island, isle	[sound:cmn-岛.mp3]
道教	道教	Dàojiào	Taoism, Daoism (Chinese system of beliefs)	[sound:cmn-道教.mp3]
道歉	道歉	dào qiàn	apologize	[sound:cmn-道歉.mp3]
低溫	低温	dīwēn	low temperature	[sound:cmn-低温.mp3]
低頭	低头	dī tóu	submission, surrender, submit, bow/hang one's head, bow, crouch, lower, yield, hang one's head, bow one's head, lower one's head	[sound:cmn-低头.mp3]
抵達	抵达	dǐdá	reach, arrive at	[sound:cmn-抵达.mp3]
抵抗	抵抗	dǐkàng	resist, stand up to	[sound:cmn-抵抗.mp3]
地名	地名	dìmíng	place name, toponym	[sound:cmn-地名.mp3]
地板	地板	dìbǎn	boarding, planking, hatch, plat, floorboard, hatchway, floor board, flooring, planch, floor, footplate	[sound:cmn-地板.mp3]
地下室	地下室	dìxiàshì	rumpus_room, soutane, undercroft, rooms built below ground, ground_floor, serdab, cellar, hypogeum, crypt, subterranean, silo, subterrane, souterrain, vault, cellarage, basement	[sound:cmn-地下室.mp3]
電動	电动	diàndòng	electric	[sound:cmn-电动.mp3]
滴	滴	dī	a drop, to drip	[sound:cmn-滴.mp3]
電車	电车	diànchē	trolleybus, CL:輛|辆[liang4]	[sound:cmn-电车.mp3]
電器	电器	diànqì	electrical equipment/appliance	[sound:cmn-电器.mp3]
電力	电力	diànlì	electrical line of force, electrical energy, power, electricity, potential, electric power	[sound:cmn-电力.mp3]
吊	吊	diào	a string of 100 cash (arch.), to lament, to condole with, variant of 吊[diao4]	[sound:cmn-吊.mp3]
調研	调研	diàoyán	to investigate and research, research, investigation	[sound:cmn-调研.mp3]
定價	定价	dìngjià	to set a price, to fix a price	[sound:cmn-定价.mp3]
定時	定时	dìngshí	to fix a time, fixed time, timed (of explosive etc)	[sound:cmn-定时.mp3]
跌	跌	diē	fall, tumble	[sound:cmn-跌.mp3]
定位	定位	dìngwèi	fixed position	[sound:cmn-定位.mp3]
鬥爭	斗争	dòuzhēng	battle, fight	[sound:cmn-斗争.mp3]
動畫	动画	dònghuà	(animated) cartoon	[sound:cmn-动画.mp3]
毒品	毒品	dúpǐn	kif, kaif, narcotics, drug, weed, grass, narcotic drugs, drugs	[sound:cmn-毒品.mp3]
賭	赌	dǔ	gamble, bet	[sound:cmn-赌.mp3]
賭博	赌博	dǔbó	gamble	[sound:cmn-赌博.mp3]
端	端	duān	old variant of 端[duan1], start, origin	[sound:cmn-端.mp3]
都市	都市	dūshì	city, metropolis	[sound:cmn-都市.mp3]
端午節	端午节	Duānwǔjié	Dragon Boat Festival (5th day of the 5th lunar month)	[sound:cmn-端午节.mp3]
短片	短片	duǎnpiàn	short film, video clip	[sound:cmn-短片.mp3]
渡	渡	dù	cross (river/sea/etc.), tide over, ferry across	[sound:cmn-渡.mp3]
隊伍	队伍	duìwu	cue, procession, contingent, ranks, troops, gang	[sound:cmn-队伍.mp3]
對外	对外	duìwài	external, foreign, pertaining to external or foreign (affairs)	[sound:cmn-对外.mp3]
對抗	对抗	duìkàng	baulk, pit, combat, antagonise, encounter, counterwork, countervail, counteract, opposition, resistance, cope, breast, defend, fight, stem, play, battle, fight down, meet, fight back, antagonize, face, confront, front, oppose, contradict, controvert, balk, resist, jib, countercheck, take on, counterbalance, match	[sound:cmn-对抗.mp3]
多半	多半	duōbàn	det : the greater part	[sound:cmn-多半.mp3]
多方面	多方面	duōfāngmiàn	many-sided, in many aspects	[sound:cmn-多方面.mp3]
多媒體	多媒体	duōméitǐ	multi-media	[sound:cmn-多媒体.mp3]
奪	夺	duó	to seize, to take away forcibly, to wrest control of, to compete or strive for, to force one's way through, to leave out, to lose	[sound:cmn-夺.mp3]
蹲	蹲	dūn	squat on heels, stay	[sound:cmn-蹲.mp3]
奪取	夺取	duóqǔ	to seize, to capture, to wrest control of	[sound:cmn-夺取.mp3]
恩人	恩人	ēnrén	a benefactor, a person who has significantly helped sb else	[sound:cmn-恩人.mp3]
兒科	儿科	érkē	pediatrics	[sound:cmn-儿科.mp3]
發病	发病	fā bìng	onset, outbreak (of a disease)	[sound:cmn-发病.mp3]
發電	发电	fā diàn	electricity generation, generate electricity	[sound:cmn-发电.mp3]
發放	发放	fāfàng	provide, grant, extend	[sound:cmn-发放.mp3]
發起	发起	fāqǐ	initiate, commence, stage, instigate, sparkplug, sponsor, inauguraion, start, launch, promote, inaugurate, initiation	[sound:cmn-发起.mp3]
發怒	发怒	fā nù	to get angry	[sound:cmn-发怒.mp3]
發言人	发言人	fāyánrén	voice, spokesman, representative, interpreter, prophet, addresser, spokesperson, prolocutor, addressor, fugleman, coryphaeus	[sound:cmn-发言人.mp3]
法庭	法庭	fǎtíng	judicature, areopagy, court, courtroom, tribunal, banc, forum, gate, banco, lockup, lawcourt, bailey	[sound:cmn-法庭.mp3]
發炎	发炎	fā yán	inflame, inflammation, inflamed	[sound:cmn-发炎.mp3]
番	番	fān	m.[event]	[sound:cmn-番.mp3]
番茄	番茄	fānqié	tomato	[sound:cmn-番茄.mp3]
凡是	凡是	fánshì	conj.: whatever	[sound:cmn-凡是.mp3]
法語	法语	Fǎyǔ	French (language)	[sound:cmn-法语.mp3]
繁殖	繁殖	fánzhí	breed, reproduce, propagate	[sound:cmn-繁殖.mp3]
反問	反问	fǎnwèn	to ask (a question) in reply, to answer a question with a question, rhetorical question	[sound:cmn-反问.mp3]
反響	反响	fǎnxiǎng	repercussions, reaction, echo	[sound:cmn-反响.mp3]
犯規	犯规	fàn guī	to break the rules, an illegality, a foul	[sound:cmn-犯规.mp3]
犯	犯	fàn	violate, offend, attack, assail, work against, commit, have recurrence (of old illness), revert (to bad habit)	[sound:cmn-犯.mp3]
反抗	反抗	fǎnkàng	revolt, resist	[sound:cmn-反抗.mp3]
犯罪	犯罪	fàn zuì	commit crime/offense	[sound:cmn-犯罪.mp3]
防守	防守	fángshǒu	to defend, to protect (against)	[sound:cmn-防守.mp3]
房價	房价	fángjià	house/apartment purchase price, house purchase price, apartment purchase price, house	[sound:cmn-房价.mp3]
防範	防范	fángfàn	be on guard, keep lookout	[sound:cmn-防范.mp3]
仿佛	仿佛	fǎngfú	to seem, as if, alike, similar	[sound:cmn-仿佛.mp3]
飛船	飞船	fēichuán	airship, spaceship	[sound:cmn-飞船.mp3]
飛行員	飞行员	fēixíngyuán	pilot, aviator	[sound:cmn-飞行员.mp3]
肺	肺	fèi	lung, CL:個|个[ge4]	[sound:cmn-肺.mp3]
分工	分工	fēn gōng	division of labour, divide the work	[sound:cmn-分工.mp3]
憤怒	愤怒	fènnù	indignant, angry	[sound:cmn-愤怒.mp3]
分裂	分裂	fēnliè	split, divide, break up	[sound:cmn-分裂.mp3]
峰會	峰会	fēnghuì	summit meeting	[sound:cmn-峰会.mp3]
奉獻	奉献	fèngxiàn	offer as tribute, present with all respect	[sound:cmn-奉献.mp3]
風暴	风暴	fēngbào	tempest, roughness, firestorm, windstorm, squall, blow, tempestuousness, storm	[sound:cmn-风暴.mp3]
佛教	佛教	Fójiào	Bodhisattva, Buddhist religion, Buddhism	[sound:cmn-佛教.mp3]
