别说	彆說	biéshuō	Don't say	[sound:cmn-别说.mp3]
别提了	彆提瞭	bié tí le	say no more; don't bring it up; drop the subject;  	[sound:cmn-别提了.mp3]
别致	彆緻	bié zhì, bié zhì	variant of 別緻|别致[bie2 zhi4];  	[sound:cmn-别致.mp3]
别扭	彆扭	biè niu	awkward; difficult; uncomfortable; not agreeing; at loggerheads; gauche;  	[sound:cmn-别扭.mp3]
彬彬有礼	彬彬有禮	bīn bīn yoǔ lǐ	refined and courteous; urbane;  	[sound:cmn-彬彬有礼.mp3]
滨海	濱海	Bīn hǎi, bīn hǎi	Binhai (place name); Binhai New District, subprovincial district of Tianjin; Binhai county in Yancheng 鹽城|盐城[Yan2 cheng2], Jiangsu; fictitious city Binhai in political satire;  coastal; bordering the sea;  	[sound:cmn-滨海.mp3]
缤纷	繽紛	bīn fēn	vast and various; rich and diverse;  	[sound:cmn-缤纷.mp3]
冰棍儿	冰棍兒	bing1 gun4 r5	ice lolly; popsicle;  	[sound:cmn-冰棍儿.mp3]
冰山	冰山	bīng shān	iceberg; CL:座[zuo4];  	[sound:cmn-冰山.mp3]
丙	丙	bǐng	third of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; third in order; letter 'C' or roman 'III' in list 'A, B, C', or 'I, II, III' etc; ancient Chinese compass point: 165°; propyl;  	[sound:cmn-丙.mp3]
秉承	秉承	bǐng chéng	to take orders; to receive commands; to carry on (a tradition);  	[sound:cmn-秉承.mp3]
并非	並非	bìng fēi	really isn't;  	[sound:cmn-并非.mp3]
并购	並購	bìng goù	merger and acquisition (M and A); acquisition; to take over;  	[sound:cmn-并购.mp3]
并列	並列	bìng liè	to stand side by side; to be juxtaposed;  	[sound:cmn-并列.mp3]
并行	並行	bìng xíng	to proceed in parallel; side by side (of two processes, developments, thoughts etc);  	[sound:cmn-并行.mp3]
病床	病床	bìng chuáng	hospital bed; sickbed;  	[sound:cmn-病床.mp3]
病症	病癥	bìng zhèng	disease; illness;  	[sound:cmn-病症.mp3]
拨	撥	bō	to push aside with the hand, foot, a stick etc; to dial; to allocate; to set aside (money); to poke (the fire); to pluck (a string instrument); to turn round; classifier: group, batch;  	[sound:cmn-拨.mp3]
拨款	撥款	bō kuǎn	to allocate funds; appropriation;  	[sound:cmn-拨款.mp3]
拨通	撥通	bōtōng	Dial	[sound:cmn-拨通.mp3]
波及	波及	bō jí	to spread to; to involve; to affect;  	[sound:cmn-波及.mp3]
波澜	波瀾	bō lán	billows; great waves (fig. of a story with great momentum);  	[sound:cmn-波澜.mp3]
波涛	波濤	bō tāo	great waves; billows;  	[sound:cmn-波涛.mp3]
波折	波摺	bō zhé	twists and turns;  	[sound:cmn-波折.mp3]
剥夺	剝奪	bō duó	to deprive; to expropriate; to strip (sb of his property);  	[sound:cmn-剥夺.mp3]
剥削	剝削	bō xuē	to exploit; exploitation;  	[sound:cmn-剥削.mp3]
伯伯	伯伯	bó bo	father's elder brother; uncle;  	[sound:cmn-伯伯.mp3]
伯父	伯父	bó fù	father's elder brother; term of respect for older man; CL:個|个[ge4];  	[sound:cmn-伯父.mp3]
伯母	伯母	bó mǔ	wife of father's elder brother; aunt; (polite form of address for a woman who is about the age of one's mother); CL:個|个[ge4];  	[sound:cmn-伯母.mp3]
驳回	駁迴	bó huí	to reject; to turn down; to overrule;  	[sound:cmn-驳回.mp3]
脖子	脖子	bó zi	neck; CL:個|个[ge4];  	[sound:cmn-脖子.mp3]
搏斗	搏鬥	bó doù	to wrestle; to fight; to struggle;  	[sound:cmn-搏斗.mp3]
不定	不定	bù dìng	indefinite; indeterminate; (botany) adventitious;  	[sound:cmn-不定.mp3]
不见得	不見得	bù jiàn de	not necessarily; not likely;  	[sound:cmn-不见得.mp3]
不利于	不利於	bùlìyú	is harmful to	[sound:cmn-不利于.mp3]
不慎	不慎	bù shèn	incautious; inattentive;  	[sound:cmn-不慎.mp3]
不适	不適	bù shì	unwell; indisposed; out of sorts;  	[sound:cmn-不适.mp3]
不算	不算	bùsuàn	Not count	[sound:cmn-不算.mp3]
不像话	不像話	bù xiàng huà	unreasonable; shocking; outrageous;  	[sound:cmn-不像话.mp3]
不屑	不屑	bù xiè	to disdain to do sth; to think sth not worth doing; to feel it beneath one's dignity;  	[sound:cmn-不屑.mp3]
不懈	不懈	bù xiè	untiring; unremitting; indefatigable;  	[sound:cmn-不懈.mp3]
不亚于	不亞於	bù yà yú	no less than; not inferior to;  	[sound:cmn-不亚于.mp3]
不亦乐乎	不亦樂乎	bù yì lè hū	lit. isn't that a joy? (quote from Confucius); fig. (jocularly) extremely; awfully;  	[sound:cmn-不亦乐乎.mp3]
不翼而飞	不翼而飛	bù yì ér fēi	to disappear without trace; to vanish all of a sudden; to spread fast; to spread like wildfire;  	[sound:cmn-不翼而飞.mp3]
不用说	不用說	bùyòngshuō	Needless to say	[sound:cmn-不用说.mp3]
